ticker,date,total_current_assets,goodwill,other_intangible_assets_excluding_goodwill,non_current_portion_of_long_term_debt,cash_and_cash_equivalents
A,2021-04-30,"3,513,000,000","4,054,000,000","1,005,000,000","2,727,000,000","1,380,000,000"
A,2021-01-31,"3,483,000,000","3,617,000,000","787,000,000","2,184,000,000","1,328,000,000"
A,2020-10-31,"3,415,000,000","3,601,000,000","831,000,000","2,284,000,000","1,440,000,000"
A,2020-07-31,"3,244,000,000","3,606,000,000","876,000,000","2,283,000,000","1,358,000,000"
A,2020-04-30,"3,171,000,000","3,582,000,000","921,000,000","1,788,000,000","1,324,000,000"
A,2020-01-31,"3,102,000,000","3,588,000,000","1,059,000,000","1,787,000,000","1,226,000,000"
A,2019-10-31,"3,188,000,000","3,592,000,000","1,107,000,000","1,791,000,000","1,382,000,000"
A,2019-07-31,"3,456,000,000","3,107,000,000","511,000,000","1,294,000,000","1,764,000,000"
A,2019-04-30,"3,812,000,000","3,112,000,000","538,000,000","1,798,000,000","2,155,000,000"
A,2019-01-31,"3,712,000,000","3,132,000,000","566,000,000","1,798,000,000","2,056,000,000"
A,2018-10-31,"3,848,000,000","2,972,000,000","491,000,000","1,799,000,000","2,247,000,000"
A,2018-07-31,"3,667,000,000","2,932,000,000","515,000,000","1,799,000,000","2,131,000,000"
A,2018-04-30,"4,525,000,000","2,617,000,000","314,000,000","1,800,000,000","3,011,000,000"
A,2018-01-31,"4,397,000,000","2,632,000,000","341,000,000","1,800,000,000","2,887,000,000"
A,2017-10-31,"4,168,000,000","2,607,000,000","361,000,000","1,800,000,000","2,678,000,000"
A,2017-07-31,"3,996,000,000","2,612,000,000","375,000,000","1,800,000,000","2,563,000,000"
A,2017-04-30,"3,800,000,000","2,568,000,000","373,000,000","1,802,000,000","2,388,000,000"
A,2017-01-31,"3,635,000,000","2,563,000,000","411,000,000","1,802,000,000","2,240,000,000"
A,2016-10-31,"3,635,000,000","2,516,000,000","408,000,000","1,912,000,000","2,288,000,000"
A,2016-07-31,"3,529,000,000","2,524,000,000","442,000,000","1,652,000,000","2,199,000,000"
A,2016-04-30,"3,488,000,000","2,556,000,000","490,000,000","1,654,000,000","2,139,000,000"
A,2016-01-31,"3,399,000,000","2,478,000,000","513,000,000","1,652,000,000","1,931,000,000"
A,2015-10-31,"3,686,000,000","2,366,000,000","445,000,000","1,655,000,000","2,003,000,000"
A,2015-07-31,"3,478,000,000","2,366,000,000","484,000,000","1,655,000,000","2,075,000,000"
A,2015-04-30,"3,620,000,000","2,340,000,000","516,000,000","1,656,000,000","2,196,000,000"
A,2015-01-31,"3,654,000,000","2,352,000,000","559,000,000","1,658,000,000","2,118,000,000"
A,2014-10-31,"5,500,000,000","2,899,000,000","667,000,000","2,761,000,000","3,028,000,000"
A,2014-07-31,"4,833,000,000","3,012,000,000","758,000,000","2,180,000,000","2,391,000,000"
A,2014-04-30,"5,376,000,000","3,067,000,000","825,000,000","2,692,000,000","2,950,000,000"
A,2014-01-31,"5,072,000,000","3,016,000,000","859,000,000","2,695,000,000","2,742,000,000"
A,2013-10-31,"4,983,000,000","3,047,000,000","916,000,000","2,699,000,000","2,675,000,000"
A,2013-07-31,"4,584,000,000","2,995,000,000","945,000,000","2,700,000,000","2,329,000,000"
A,2013-04-30,"4,817,000,000","3,006,000,000","995,000,000","2,106,000,000","2,519,000,000"
A,2013-01-31,"4,712,000,000","3,071,000,000","1,069,000,000","2,111,000,000","2,449,000,000"
A,2012-10-31,"4,629,000,000","3,024,000,000","1,086,000,000","2,112,000,000","2,351,000,000"
A,2012-07-31,"4,211,000,000","2,950,000,000","","1,714,000,000","1,923,000,000"
A,2012-04-30,"6,009,000,000","1,596,000,000","","1,926,000,000","3,896,000,000"
A,2012-01-31,"5,714,000,000","1,598,000,000","414,000,000","1,928,000,000","3,662,000,000"
A,2011-10-31,"5,568,000,000","1,567,000,000","429,000,000","1,932,000,000","3,527,000,000"
A,2011-07-31,"5,223,000,000","1,580,000,000","462,000,000","2,168,000,000","3,100,000,000"
A,2011-04-30,"5,096,000,000","1,555,000,000","493,000,000","2,144,000,000","2,975,000,000"
A,2011-01-31,"4,598,000,000","1,448,000,000","467,000,000","2,138,000,000","2,638,000,000"
A,2010-10-31,"6,168,000,000","1,456,000,000","494,000,000","2,190,000,000",0.0
A,2010-07-31,"5,735,000,000","1,399,000,000","513,000,000","2,176,000,000",0.0
A,2010-04-30,"5,712,000,000","644,000,000","126,000,000","1,392,000,000","11,000,000"
A,2010-01-31,"5,519,000,000","657,000,000","148,000,000","1,410,000,000","12,000,000"
A,2009-10-31,"3,960,000,000","655,000,000","167,000,000","1,516,000,000","14,000,000"
A,2009-07-31,"2,896,000,000","642,000,000","178,000,000","1,515,000,000","20,000,000"
A,2009-04-30,"","","","","1,400,000,000"
A,2009-01-31,"","","","","1,362,000,000"
A,2008-10-31,"3,182,000,000","646,000,000","228,000,000","1,514,000,000","24,000,000"
A,2008-07-31,"","","","","1,640,000,000"
A,2007-10-31,"","","","","1,826,000,000"
