ticker,date,total_revenue,cost_of_revenue,operating_income
A,2021-04-30,"1,149,000,000","708,000,000","288,000,000"
A,2021-01-31,"1,172,000,000","710,000,000","328,000,000"
A,2020-10-31,"1,114,000,000","695,000,000","299,000,000"
A,2020-07-31,"932,000,000","592,000,000","230,000,000"
A,2020-04-30,"923,000,000","581,000,000","102,000,000"
A,2020-01-31,"1,023,000,000","634,000,000","215,000,000"
A,2019-10-31,"1,027,000,000","630,000,000","250,000,000"
A,2019-07-31,"948,900,000","582,000,000","225,000,000"
A,2019-04-30,"920,900,000","569,000,000","216,000,000"
A,2019-01-31,"980,000,000","577,000,000","250,000,000"
A,2018-10-31,"990,900,000","579,000,000","249,000,000"
A,2018-07-31,"907,000,000","542,000,000","225,000,000"
A,2018-04-30,"918,000,000","562,000,000","215,000,000"
A,2018-01-31,"930,000,000","538,000,000","239,000,000"
A,2017-10-31,"907,900,000","542,000,000","233,000,000"
A,2017-07-31,"842,000,000","517,900,000","201,000,000"
A,2017-04-30,"842,000,000","510,000,000","201,000,000"
A,2017-01-31,"818,000,000","493,000,000","206,000,000"
A,2016-10-31,"847,000,000","522,900,000","183,000,000"
A,2016-07-31,"798,000,000","502,000,000","146,000,000"
A,2016-04-30,"787,000,000","489,000,000","131,000,000"
A,2016-01-31,"795,000,000","491,000,000","155,000,000"
A,2015-10-31,"773,900,000","500,000,000","156,000,000"
A,2015-07-31,"798,000,000","500,900,000","144,000,000"
A,2015-04-30,"759,000,000","483,000,000","107,000,000"
A,2015-01-31,"815,000,000","513,000,000","115,000,000"
A,2014-10-31,"1,477,000,000","908,000,000","174,000,000"
A,2014-07-31,"1,437,000,000","852,000,000","229,000,000"
A,2014-04-30,"1,405,000,000","832,000,000","210,000,000"
A,2014-01-31,"1,366,000,000","796,000,000","218,000,000"
A,2013-10-31,"1,395,000,000","810,000,000","285,000,000"
A,2013-07-31,"1,335,000,000","796,000,000","236,000,000"
A,2013-04-30,"1,424,000,000","840,900,000","213,000,000"
A,2013-01-31,"1,380,000,000","800,000,000","217,000,000"
A,2012-10-31,"1,453,000,000","845,000,000","278,000,000"
A,2012-07-31,"1,428,000,000","832,900,000","270,000,000"
A,2012-04-30,"1,434,000,000","815,000,000","300,000,000"
A,2012-01-31,"1,342,000,000","761,000,000","271,000,000"
A,2011-10-31,"1,428,000,000","807,000,000","313,000,000"
A,2011-07-31,"1,405,000,000","799,000,000","281,000,000"
A,2011-04-30,"1,389,000,000","777,000,000","266,000,000"
A,2011-01-31,"1,258,000,000","703,000,000","211,000,000"
A,2010-10-31,"1,312,000,000","741,900,000","203,000,000"
A,2010-07-31,"1,147,000,000","659,000,000","115,000,000"
A,2010-04-30,"1,028,000,000","559,900,000","154,000,000"
A,2010-01-31,"976,000,000","553,000,000","94,000,000"
A,2009-10-31,"930,000,000","532,900,000","71,000,000"
A,2009-07-31,"835,000,000","518,000,000","-1,000,000"
A,2009-04-30,"863,900,000","561,000,000","-47,000,000"
A,2009-01-31,"937,000,000","577,000,000","24,000,000"
A,2008-10-31,"1,233,000,000","650,900,000","252,000,000"
