ticker,date,total_current_assets,goodwill,total_current_liabilities,non_current_portion_of_long_term_debt,total_liabilities
AA,2021-06-30,"4,200,000,000","","2,671,000,000","2,216,000,000","9,020,000,000"
AA,2021-03-31,"4,890,000,000","","3,220,000,000","2,214,000,000","10,050,000,000"
AA,2020-12-31,"4,520,000,000","","2,760,000,000","2,463,000,000","9,843,000,000"
AA,2020-09-30,"4,052,000,000","","2,303,000,000","2,537,000,000","9,230,000,000"
AA,2020-06-30,"3,179,000,000","","2,240,000,000","1,800,000,000","7,976,000,000"
AA,2020-03-31,"3,332,000,000","","2,223,000,000","1,800,000,000","7,840,000,000"
AA,2019-12-31,"3,529,000,000","","2,563,000,000","1,799,000,000","8,744,000,000"
AA,2019-09-30,"3,643,000,000","","2,455,000,000","1,804,000,000","8,259,000,000"
AA,2019-06-30,"3,817,000,000","","2,531,000,000","1,804,000,000","8,489,000,000"
AA,2019-03-31,"4,113,000,000","","2,803,000,000","1,802,000,000","8,872,000,000"
AA,2018-12-31,"4,134,000,000","","2,919,000,000","1,800,000,000","8,544,000,000"
AA,2018-09-30,"4,192,000,000","","3,004,000,000","1,820,000,000","8,899,000,000"
AA,2018-06-30,"4,280,000,000","","3,012,000,000","1,916,000,000","9,409,000,000"
AA,2018-03-31,"4,148,000,000","","2,976,000,000","1,444,000,000","9,578,000,000"
AA,2017-12-31,"4,238,000,000","","3,252,000,000","1,388,000,000","10,640,000,000"
AA,2017-09-30,"3,804,000,000","","2,766,000,000","1,384,000,000","9,136,000,000"
AA,2017-06-30,"3,583,000,000","","2,608,000,000","1,418,000,000","8,730,000,000"
AA,2017-03-31,"3,404,000,000","","2,623,000,000","1,431,000,000","8,913,000,000"
AA,2016-12-31,"3,180,000,000","","2,820,000,000","1,424,000,000","9,043,000,000"
AA,2016-09-30,"3,622,000,000","155,000,000","2,206,000,000","1,456,000,000","8,178,000,000"
AA,2015-12-31,"2,566,000,000","152,000,000","2,404,000,000","207,000,000","4,899,000,000"
AA,2014-12-31,"2,916,000,000","160,000,000","2,735,000,000","","5,607,000,000"
