ticker,date,net_cash_provided_by_operating_activities,net_cash_provided_by_financing_activities,net_cash_provided_by_investing_activities
AA,2021-06-30,"-86,000,000","-849,000,000","34,000,000"
AA,2021-03-31,"6,000,000","428,000,000","514,000,000"
AA,2020-12-31,"38,000,000","-63,000,000","-117,000,000"
AA,2020-09-30,"158,000,000","692,000,000","-78,000,000"
AA,2020-06-30,"288,000,000","-71,000,000","-79,000,000"
AA,2020-03-31,"-90,000,000","-44,000,000","107,000,000"
AA,2019-12-31,"262,000,000","-93,000,000","-134,000,000"
AA,2019-09-30,"174,000,000","-81,000,000","-76,000,000"
AA,2019-06-30,"82,000,000","-71,000,000","-199,000,000"
AA,2019-03-31,"168,000,000","-199,000,000","-59,000,000"
AA,2018-12-31,"535,000,000","-294,000,000","-148,000,000"
AA,2018-09-30,"288,000,000","-280,000,000","-83,000,000"
AA,2018-06-30,"-430,000,000","433,000,000","-100,000,000"
AA,2018-03-31,"55,000,000","-147,000,000","-74,000,000"
AA,2017-12-31,"455,000,000","-53,000,000","-170,000,000"
AA,2017-09-30,"384,000,000","-115,000,000","-104,000,000"
AA,2017-06-30,"311,000,000","-78,000,000","-87,000,000"
AA,2017-03-31,"74,000,000","-260,000,000","131,000,000"
AA,2016-12-31,"239,000,000","-698,000,000","1,081,000,000"
AA,2016-09-30,"-109,000,000","-25,000,000","38,000,000"
AA,2016-06-30,"","-7,000,000","60,000,000"
AA,2016-03-31,"-359,000,000","247,000,000","-103,000,000"
