ticker,date,cash_and_cash_equivalents,net_income,net_cash_provided_by_operating_activities,net_cash_provided_by_investing_activities,net_cash_provided_by_financing_activities,net_interest_paid
AAAU,2021-03-31,"","23,630,000,000","23,980,000,000","-10,300,000,000","-11,300,000,000","708,000,000"
AAAU,2020-12-31,"","28,750,000,000","38,760,000,000","-8,580,000,000","-32,200,000,000","619,000,000"
AAAU,2020-09-30,"","12,670,000,000","20,570,000,000","5,531,000,000","-21,300,000,000","726,900,000"
AAAU,2020-06-30,"","11,250,000,000","16,270,000,000","-5,160,000,000","-19,100,000,000","586,000,000"
AAAU,2020-03-31,"","11,240,000,000","13,310,000,000","9,012,000,000","-20,900,000,000","917,900,000"
AAAU,2019-12-31,"","22,230,000,000","30,510,000,000","-13,600,000,000","-25,400,000,000","771,000,000"
AAAU,2019-09-30,"","13,680,000,000","19,910,000,000","-797,000,000","-21,000,000,000","860,000,000"
AAAU,2019-06-30,"","10,040,000,000","11,630,000,000","27,500,000,000","-26,800,000,000","801,000,000"
AAAU,2019-03-31,"","11,560,000,000","11,150,000,000","13,340,000,000","-29,400,000,000","926,000,000"
AAAU,2018-12-31,"44,770,000,000","19,960,000,000","26,690,000,000","5,843,000,000","-13,600,000,000","836,000,000"
AAAU,2018-09-30,"25,910,000,000","14,120,000,000","19,520,000,000","-3,000,000,000","-22,500,000,000","902,000,000"
AAAU,2018-06-30,"31,970,000,000","11,510,000,000","14,480,000,000","3,947,000,000","-31,500,000,000","764,000,000"
AAAU,2018-03-31,"45,050,000,000","13,820,000,000","15,120,000,000","28,700,000,000","-26,200,000,000","733,000,000"
AAAU,2017-12-31,"27,490,000,000","20,060,000,000","28,290,000,000","-13,500,000,000","-7,500,000,000","623,000,000"
AAAU,2017-09-30,"20,280,000,000","10,710,000,000","15,650,000,000","-9,940,000,000","-3,990,000,000",""
AAAU,2017-06-30,"18,570,000,000","8,717,000,000","8,362,000,000","-3,170,000,000","-1,760,000,000",""
AAAU,2017-03-31,"15,150,000,000","11,020,000,000","12,340,000,000","-14,200,000,000","643,000,000",""
AAAU,2016-12-31,"16,370,000,000","17,890,000,000","27,050,000,000","-19,100,000,000","-12,200,000,000",""
AAAU,2016-09-30,"20,480,000,000","9,014,000,000","16,120,000,000","-7,390,000,000","-6,480,000,000",""
AAAU,2016-06-30,"18,230,000,000","7,795,000,000","10,630,000,000","-4,460,000,000","-9,440,000,000",""
AAAU,2016-03-31,"21,510,000,000","10,510,000,000","11,600,000,000","-13,600,000,000","",""
AAAU,2015-12-31,"16,680,000,000","18,360,000,000","27,460,000,000","-20,400,000,000","",""
AAAU,2015-09-30,"21,120,000,000","11,120,000,000","13,470,000,000","-1,370,000,000","",""
AAAU,2015-06-30,"15,310,000,000","10,670,000,000","14,980,000,000","-11,400,000,000","",""
AAAU,2015-03-31,"14,480,000,000","13,560,000,000","19,080,000,000","-22,300,000,000","",""
AAAU,2014-12-31,"19,470,000,000","18,020,000,000","33,720,000,000","-21,100,000,000","",""
AAAU,2014-09-30,"13,840,000,000","8,466,000,000","13,240,000,000","2,997,000,000","",""
AAAU,2014-06-30,"12,970,000,000","7,747,000,000","10,250,000,000","-22,200,000,000","",""
AAAU,2014-03-31,"18,940,000,000","10,220,000,000","13,530,000,000","11,740,000,000","",""
AAAU,2013-12-31,"14,070,000,000","13,070,000,000","22,670,000,000","-15,100,000,000","-7,740,000,000",""
AAAU,2013-09-30,"14,250,000,000","7,511,000,000","9,908,000,000","610,900,000","-7,500,000,000",""
AAAU,2013-06-30,"11,240,000,000","6,900,000,000","7,827,000,000","-6,500,000,000","-2,120,000,000",""
AAAU,2013-03-31,"12,050,000,000","9,546,000,000","12,500,000,000","-14,300,000,000","-2,240,000,000",""
AAAU,2012-12-31,"16,150,000,000","13,070,000,000","23,420,000,000","-13,500,000,000","-4,490,000,000",""
AAAU,2012-09-30,"10,740,000,000","8,223,000,000","9,136,000,000","-4,310,000,000","-2,020,000,000",""
AAAU,2012-06-30,"7,944,000,000","8,824,000,000","10,180,000,000","-12,300,000,000","-55,000,000",""
AAAU,2012-03-31,"10,120,000,000","11,620,000,000","13,970,000,000","-14,400,000,000","310,000,000",""
AAAU,2011-12-31,"10,300,000,000","13,060,000,000","17,550,000,000","-17,100,000,000","69,000,000",""
AAAU,2011-09-30,"9,815,000,000","6,623,000,000","10,420,000,000","-13,100,000,000","431,000,000",""
AAAU,2011-06-30,"12,090,000,000","7,308,000,000","11,100,000,000","-15,000,000,000","37,000,000",""
AAAU,2011-03-31,"15,970,000,000","5,987,000,000","6,219,000,000","-1,520,000,000","547,000,000",""
AAAU,2010-12-31,"10,730,000,000","6,003,000,000","9,772,000,000","-10,700,000,000","429,000,000",""
AAAU,2010-09-30,"11,260,000,000","4,307,000,000","5,683,000,000","-4,380,000,000","255,900,000",""
AAAU,2010-06-30,"9,704,000,000","3,253,000,000","4,800,000,000","-5,420,000,000","316,000,000",""
AAAU,2010-03-31,"10,010,000,000","3,073,000,000","2,329,000,000","-82,900,000","162,000,000",""
AAAU,2009-12-31,"7,608,000,000","3,377,000,000","5,781,000,000","-3,950,000,000","523,000,000",""
AAAU,2009-09-30,"5,263,000,000","1,664,000,000","3,109,000,000","-3,770,000,000","319,000,000",""
AAAU,2009-06-30,"5,605,000,000","164,000,000","2,270,000,000","-1,330,000,000","208,000,000",""
AAAU,2009-03-31,"4,465,000,000","1,620,000,000","840,900,000","-3,680,000,000","74,000,000",""
AAAU,2008-12-31,"","2,255,000,000","3,937,000,000","-8,630,000,000","62,000,000",""
AAAU,2008-09-30,"11,870,000,000","1,136,000,000","4,295,000,000","-1,990,000,000","200,000,000",""
AAAU,2008-06-30,"9,372,000,000","1,072,000,000","","","",""
AAAU,2007-09-30,"9,351,000,000","","","","",""
