ticker,date,total_revenue,cost_of_revenue,gross_profit,total_operating_expenses,operating_income,net_income,earnings_per_share_basic,earnings_per_share_diluted
AACG,2021-03-31,8.958e+10,5.15e+10,3.807e+10,1.057e+10,2.75e+10,2.363e+10,1.41,1.4
AACG,2020-12-31,1.114e+11,6.711e+10,4.432e+10,1.079e+10,3.353e+10,2.875e+10,1.7,1.68
AACG,2020-09-30,6.469e+10,4e+10,2.468e+10,9.914e+09,1.477e+10,1.267e+10,-6.94,-6.88
AACG,2020-06-30,5.968e+10,3.7e+10,2.268e+10,9.589e+09,1.309e+10,1.125e+10,2.62,2.6
AACG,2020-03-31,5.831e+10,3.594e+10,2.237e+10,9.516e+09,1.285e+10,1.124e+10,2.59,2.57
AACG,2019-12-31,9.181e+10,5.66e+10,3.521e+10,9.648e+09,2.556e+10,2.223e+10,5.04,4.99
AACG,2019-09-30,6.404e+10,3.972e+10,2.431e+10,8.687e+09,1.562e+10,1.368e+10,3.05,3.03
AACG,2019-06-30,5.38e+10,3.358e+10,2.022e+10,8.682e+09,1.154e+10,1.004e+10,2.22,2.2
AACG,2019-03-31,5.801e+10,3.619e+10,2.182e+10,8.406e+09,1.341e+10,1.156e+10,2.48,2.48
AACG,2018-12-31,8.43e+10,5.227e+10,3.203e+10,8.684e+09,2.334e+10,1.996e+10,4.22,4.18
AACG,2018-09-30,6.289e+10,3.881e+10,2.408e+10,7.965e+09,1.611e+10,1.412e+10,2.94,2.92
AACG,2018-06-30,5.326e+10,3.284e+10,2.042e+10,7.809e+09,1.261e+10,1.151e+10,2.38,2.36
AACG,2018-03-31,6.113e+10,3.771e+10,2.342e+10,7.528e+09,1.589e+10,1.382e+10,2.77,2.74
AACG,2017-12-31,8.829e+10,5.438e+10,3.391e+10,7.638e+09,2.627e+10,2.006e+10,3.92,3.89
AACG,2017-09-30,5.257e+10,3.264e+10,1.993e+10,6.81e+09,1.311e+10,1.071e+10,2.09,2.07
AACG,2017-06-30,4.54e+10,2.791e+10,1.748e+10,6.72e+09,1.076e+10,8.717e+09,1.68,1.68
AACG,2017-03-31,5.289e+10,3.23e+10,2.059e+10,6.493e+09,1.409e+10,1.102e+10,2.12,2.1
AACG,2016-12-31,7.835e+10,4.817e+10,3.017e+10,6.816e+09,2.335e+10,1.789e+10,3.38,3.36
AACG,2016-09-30,4.685e+10,2.903e+10,1.781e+10,6.051e+09,1.176e+10,9.014e+09,1.69,1.69
AACG,2016-06-30,4.235e+10,2.625e+10,1.61e+10,6e+09,1.01e+10,7.795e+09,1.44,1.43
AACG,2016-03-31,5.055e+10,3.063e+10,1.992e+10,5.934e+09,1.398e+10,1.051e+10,1.92,1.91
AACG,2015-12-31,7.587e+10,4.544e+10,3.042e+10,6.252e+09,2.417e+10,1.836e+10,3.3,3.28
AACG,2015-09-30,5.15e+10,3.095e+10,2.054e+10,5.925e+09,1.462e+10,1.112e+10,1.98,1.97
AACG,2015-06-30,4.96e+10,2.992e+10,1.968e+10,5.598e+09,1.408e+10,1.067e+10,1.87,1.86
AACG,2015-03-31,5.801e+10,3.435e+10,2.365e+10,5.377e+09,1.827e+10,1.356e+10,2.35,2.33
AACG,2014-12-31,7.459e+10,4.485e+10,2.974e+10,5.495e+09,2.424e+10,1.802e+10,3.08,3.06
AACG,2014-09-30,4.212e+10,2.611e+10,1.6e+10,4.844e+09,1.116e+10,8.466e+09,1.43,1.42
AACG,2014-06-30,3.743e+10,2.269e+10,1.473e+10,4.452e+09,1.028e+10,7.747e+09,-21.25,-21.13
AACG,2014-03-31,4.564e+10,2.769e+10,1.794e+10,4.354e+09,1.359e+10,1.022e+10,11.72,11.66
