ticker,date,net_income,net_cash_provided_by_operating_activities,net_cash_provided_by_investing_activities,net_cash_provided_by_financing_activities,cash_and_cash_equivalents,net_interest_paid
AAGH,2021-03-31,-13400000,-94100,,56780,25250,0
AAGH,2020-12-31,-36200,-595,,63140,62650,0
AAGH,2020-09-30,-2670,-2250,,2182,98,0
AAGH,2020-06-30,-33800,-22400,,22530,166,0
AAGH,2020-03-31,-2740,-1740,,1686,84,0
AAGH,2019-12-31,-11100,-12500,,12650,147,0
AAGH,2019-09-30,-4140,-2800,,2752,47,0
AAGH,2019-06-30,-13300,-1020,,933,102,0
AAGH,2019-03-31,-7530,-2800,,2870,198,0
AAGH,2018-12-31,-36500,-23800,,23920,136,0
AAGH,2018-09-30,-7630,-100,,152,67,0
AAGH,2018-06-30,-21500,-16200,-13400,28280,15,0
AAGH,2018-03-31,-9090,-4840,0,5468,1382,0
AAGH,2017-12-31,-15000,-18700,,16150,760,0
AAGH,2017-09-30,-13700,-6970,,6527,3380,0
AAGH,2017-06-30,-36200,-34400,0,35620,3827,0
AAGH,2017-03-31,-12100,-6110,0,4709,2654,0
AAGH,2016-12-31,-860000,35720,,-39200,4057,0
AAGH,2016-09-30,-57900,-46300,,49250,7579,0
AAGH,2016-06-30,-68000,-10600,0,0,4669,0
AAGH,2016-03-31,-274000,-20500,0,0,15340,
AAGH,2015-12-31,,-336000,,-94200,35850,
AAGH,2015-09-30,,-117000,,534900,441500,
AAGH,2015-06-30,,-79200,,8399,24270,
AAGH,2015-03-31,,-17000,,,22480,
AAGH,2014-12-31,,,,,23020,
AAGH,2013-09-30,,-10000,,83810,95500,
AAGH,2013-06-30,,-35700,10,0,19740,
AAGH,2013-03-31,,-2540,0,53000,55530,
AAGH,2012-12-31,,-10000,140,0,5076,
AAGH,2012-09-30,,-41800,-250,56700,15220,
AAGH,2012-06-30,,-4500,,5000,381,
AAGH,2012-03-31,,,,,132,
AAGH,2011-06-30,,,,,6725,
AAGH,2011-09-30,,-6570,,,151,
