ticker,date,total_revenue,cost_of_revenue,gross_profit,total_operating_expenses,operating_income,net_income
AAGH,2021-03-31,195500,143900,51630,,-13400000,-13400000
AAGH,2020-12-31,0,0,0,,-34600,-36200
AAGH,2020-09-30,136,144,-8,,-1180,-2670
AAGH,2020-06-30,5474,3369,2105,,-32500,
AAGH,2020-03-31,0,0,0,,-1480,-2740
AAGH,2019-12-31,0,0,0,,-9980,-11100
AAGH,2019-09-30,0,0,0,,-2150,-3340
AAGH,2019-06-30,0,0,0,,-8840,-13300
AAGH,2019-03-31,0,0,0,,-7530,-7530
AAGH,2018-12-31,0,0,0,,-24500,-36500
AAGH,2018-09-30,0,0,0,,-5860,-6830
AAGH,2018-06-30,0,0,0,,-21000,-21500
AAGH,2018-03-31,0,0,0,,-9090,-9090
AAGH,2017-12-31,0,0,0,,-15000,-15000
AAGH,2017-09-30,0,0,0,,-12900,-12900
AAGH,2017-06-30,0,0,0,,,-36200
AAGH,2017-03-31,0,0,0,,,-12100
AAGH,2016-12-31,-26300,,-9880,,,0
AAGH,2016-09-30,26370,,9888,,,0
AAGH,2016-06-30,576500,,245700,,,-68000
AAGH,2016-03-31,1062000,,-96300,,,-274000
AAGH,2015-12-31,1460000,,52770,,,
AAGH,2015-09-30,73900,,13270,,-683000,
AAGH,2014-09-30,,,,,-158000,
AAGH,2013-09-30,44720,,44720,,,
AAGH,2012-06-30,0,,0,,,
AAGH,2012-03-31,4500,,4044,4417,,
