ticker,date,operating_income,earnings_per_share_basic
AAL,2021-06-30,4.41e+08,0.05
AAL,2021-03-31,-1.31e+09,-1.97
AAL,2020-12-31,-2.51e+09,-3.6
AAL,2020-09-30,-2.87e+09,-4.68
AAL,2020-06-30,-2.48e+09,-4.82
AAL,2020-03-31,-2.54e+09,-5.26
AAL,2019-12-31,728900000,0.95
AAL,2019-09-30,8.08e+08,0.96
AAL,2019-06-30,1.153e+09,1.48
AAL,2019-03-31,3.75e+08,0.41
AAL,2018-12-31,5.48e+08,0.69
AAL,2018-09-30,648900000,0.74
AAL,2018-06-30,1.028e+09,1.22
AAL,2018-03-31,4.31e+08,0.39
AAL,2017-12-31,689900000,0.55
AAL,2017-09-30,1.232e+09,1.29
AAL,2017-06-30,1.535e+09,1.62
AAL,2017-03-31,6.01e+08,0.46
AAL,2016-12-31,766900000,0.62
AAL,2016-09-30,1.43e+09,1.41
AAL,2016-06-30,1.752e+09,1.67
AAL,2016-03-31,1.335e+09,1.15
AAL,2015-12-31,1.068e+09,5.05
AAL,2015-09-30,1.999e+09,2.53
AAL,2015-06-30,1.92e+09,2.47
AAL,2015-03-31,1.216e+09,1.34
AAL,2014-12-31,8.6e+08,0.85
AAL,2014-09-30,1.26e+09,1.31
AAL,2014-06-30,1.398e+09,1.2
AAL,2014-03-31,7.3e+08,0.66
AAL,2013-12-31,1.61e+08,-11.75
AAL,2013-09-30,6.98e+08,0.86
AAL,2013-06-30,4.88e+08,0.66
AAL,2013-03-31,5.2e+07,-1.02
AAL,2012-12-31,3e+06,0.78
AAL,2012-09-30,5.1e+07,-0.71
AAL,2012-06-30,1.42e+08,-0.72
AAL,2012-03-31,-8.9e+07,-4.95
AAL,2011-12-31,-7.84e+08,-3.27
AAL,2011-09-30,3.9e+07,-0.48
AAL,2011-06-30,-7.7e+07,-0.85
AAL,2011-03-31,-2.32e+08,-1.31
AAL,2010-12-31,6.8e+07,-0.29
AAL,2010-09-30,3.42e+08,0.43
AAL,2010-06-30,1.96e+08,-0.03
AAL,2009-12-31,-3.9e+08,-0.99
AAL,2010-03-31,-2.98e+08,-1.52
AAL,2009-09-30,-1.94e+08,-1.26
