ticker,date,cash_and_cash_equivalents,total_current_assets,goodwill,total_assets,total_current_liabilities,non_current_portion_of_long_term_debt,total_liabilities
HD,2021-07-31,"4,566,000,000","28,260,000,000","7,454,000,000","70,760,000,000","26,660,000,000","33,740,000,000","68,700,000,000"
HD,2021-04-30,"6,648,000,000","30,670,000,000","7,136,000,000","72,560,000,000","27,750,000,000","34,690,000,000","70,810,000,000"
HD,2021-01-31,"7,895,000,000","28,470,000,000","7,126,000,000","70,580,000,000","23,160,000,000","35,820,000,000","67,280,000,000"
HD,2020-10-31,"14,650,000,000","34,500,000,000","2,236,000,000","66,910,000,000","25,390,000,000","32,830,000,000","65,380,000,000"
HD,2020-07-31,"14,130,000,000","31,360,000,000","2,232,000,000","63,340,000,000","24,190,000,000","32,360,000,000","63,760,000,000"
HD,2020-04-30,"8,696,000,000","27,270,000,000","2,220,000,000","58,730,000,000","23,340,000,000","31,620,000,000","62,220,000,000"
HD,2020-01-31,"2,132,000,000","19,810,000,000","2,254,000,000","51,230,000,000","18,370,000,000","28,660,000,000","54,350,000,000"
HD,2019-10-31,"2,192,000,000","21,170,000,000","2,252,000,000","52,300,000,000","19,560,000,000","26,590,000,000","53,390,000,000"
HD,2019-07-31,"2,547,000,000","20,690,000,000","2,254,000,000","52,010,000,000","18,790,000,000","27,060,000,000","53,160,000,000"
HD,2019-04-30,"1,882,000,000","20,550,000,000","2,249,000,000","51,510,000,000","19,670,000,000","26,800,000,000","53,650,000,000"
HD,2019-01-31,"1,778,000,000","18,520,000,000","2,252,000,000","44,000,000,000","16,710,000,000","26,800,000,000","45,880,000,000"
HD,2018-10-31,"1,764,000,000","19,800,000,000","2,257,000,000","45,190,000,000","18,190,000,000","23,330,000,000","43,880,000,000"
HD,2018-07-31,"3,489,000,000","20,800,000,000","2,251,000,000","46,230,000,000","18,420,000,000","23,290,000,000","44,220,000,000"
HD,2018-04-30,"3,599,000,000","21,210,000,000","2,280,000,000","46,640,000,000","18,130,000,000","24,240,000,000","44,960,000,000"
HD,2018-01-31,"3,595,000,000","18,930,000,000","2,275,000,000","44,520,000,000","16,190,000,000","24,260,000,000","43,070,000,000"
HD,2017-10-31,"3,548,000,000","19,680,000,000","2,216,000,000","45,020,000,000","16,000,000,000","24,260,000,000","42,480,000,000"
HD,2017-07-31,"4,830,000,000","20,510,000,000","2,235,000,000","45,950,000,000","15,820,000,000","24,420,000,000","42,400,000,000"
HD,2017-04-30,"3,564,000,000","19,890,000,000","2,095,000,000","44,940,000,000","16,430,000,000","22,390,000,000","40,980,000,000"
HD,2017-01-31,"2,537,000,000","17,720,000,000","2,092,000,000","42,960,000,000","14,130,000,000","22,340,000,000","38,630,000,000"
HD,2016-10-31,"3,588,000,000","19,340,000,000","2,095,000,000","44,500,000,000","14,430,000,000","22,330,000,000","38,880,000,000"
HD,2016-07-31,"4,017,000,000","18,940,000,000","2,106,000,000","44,240,000,000","14,520,000,000","20,890,000,000","37,580,000,000"
HD,2016-04-30,"3,256,000,000","19,010,000,000","2,123,000,000","44,570,000,000","15,140,000,000","20,900,000,000","38,240,000,000"
HD,2016-01-31,"2,216,000,000","16,990,000,000","2,102,000,000","42,540,000,000","12,520,000,000","20,880,000,000","36,230,000,000"
HD,2015-10-31,"3,040,000,000","18,600,000,000","2,111,000,000","44,150,000,000","15,970,000,000","17,810,000,000","36,530,000,000"
HD,2015-07-31,"4,936,000,000","19,530,000,000","1,340,000,000","43,790,000,000","16,390,000,000","16,310,000,000","35,160,000,000"
HD,2015-04-30,"2,827,000,000","17,990,000,000","1,359,000,000","42,510,000,000","17,000,000,000","13,810,000,000","33,300,000,000"
HD,2015-01-31,"1,723,000,000","15,300,000,000","1,352,000,000","39,940,000,000","11,260,000,000","16,860,000,000","30,620,000,000"
