ticker,date,gross_profit,total_operating_expenses,operating_income,earnings_per_share_basic,earnings_per_share_diluted
HD,2021-07-31,"13,660,000,000","7,026,000,000","6,638,000,000",4.54,4.52
HD,2021-04-30,"12,740,000,000","6,960,000,000","5,781,000,000",3.87,3.86
HD,2021-01-31,"10,830,000,000","6,748,000,000","4,083,000,000",2.66,2.66
HD,2020-10-31,"11,450,000,000","6,603,000,000","4,852,000,000",3.19,3.17
HD,2020-07-31,"12,940,000,000","6,873,000,000","6,066,000,000",4.04,4.03
HD,2020-04-30,"9,624,000,000","6,349,000,000","3,276,000,000",2.09,2.08
HD,2020-01-31,"8,736,000,000","5,332,000,000","3,402,000,000",2.3,2.29
HD,2019-10-31,"9,386,000,000","5,440,000,000","3,947,000,000",2.53,2.53
HD,2019-07-31,"10,430,000,000","5,536,000,000","4,896,000,000",3.18,3.16
HD,2019-04-30,"9,016,000,000","5,420,000,000","3,596,000,000",2.28,2.27
HD,2019-01-31,"9,027,000,000","5,648,000,000","3,377,000,000",2.11,2.1
HD,2018-10-31,"9,150,000,000","5,280,000,000","3,870,000,000",2.52,2.51
HD,2018-07-31,"10,360,000,000","5,464,000,000","4,900,000,000",3.06,3.04
HD,2018-04-30,"8,616,000,000","5,235,000,000","3,380,000,000",2.09,2.08
HD,2018-01-31,"8,093,000,000","4,904,000,000","3,189,000,000",1.54,1.53
HD,2017-10-31,"8,647,000,000","4,968,000,000","3,680,000,000",1.86,1.85
HD,2017-07-31,"9,460,000,000","4,997,000,000","4,462,000,000",2.25,2.24
HD,2017-04-30,"8,153,000,000","4,805,000,000","3,348,000,000",1.68,1.67
HD,2017-01-31,"7,552,000,000","4,626,000,000","2,927,000,000",1.44,1.45
HD,2016-10-31,"8,042,000,000","4,721,000,000","3,319,000,000",1.61,1.6
HD,2016-07-31,"8,927,000,000","4,824,000,000","4,103,000,000",1.97,1.96
HD,2016-04-30,"7,791,000,000","4,713,000,000","3,076,000,000",1.45,1.44
HD,2016-01-31,"7,156,000,000","4,607,000,000","2,549,000,000",1.18,1.17
HD,2015-10-31,"7,564,000,000","4,584,000,000","2,981,000,000",1.36,1.35
HD,2015-07-31,"8,365,000,000","4,717,000,000","3,646,000,000",1.73,1.73
HD,2015-04-30,"7,178,000,000","4,582,000,000","2,596,000,000",1.22,1.21
HD,2015-01-31,"6,723,000,000","4,531,000,000","2,191,000,000",1.06,1.05
HD,2014-10-31,"7,184,000,000","4,632,000,000","2,552,000,000",1.15,1.15
HD,2014-07-31,"8,160,000,000","4,712,000,000","3,448,000,000",1.52,1.51
HD,2014-04-30,"6,885,000,000","4,608,000,000","2,276,000,000",1.01,1.0
HD,2014-01-31,"6,191,000,000","4,431,000,000","1,760,000,000",0.74,0.74
HD,2013-10-31,"6,798,000,000","4,505,000,000","2,293,000,000",0.96,0.95
HD,2013-07-31,"7,720,000,000","4,702,000,000","3,018,000,000",1.24,1.24
HD,2013-04-30,"6,679,000,000","4,584,000,000","2,094,000,000",0.84,0.83
HD,2013-01-31,"6,365,000,000","4,616,000,000","1,750,000,000",0.7,0.68
HD,2012-10-31,"6,267,000,000","4,533,000,000","1,732,000,000",0.63,0.64
HD,2012-07-31,"7,025,000,000","4,456,000,000","2,569,000,000",1.02,1.0
HD,2012-04-30,"6,183,000,000","4,469,000,000","1,714,000,000",0.68,0.68
HD,2012-01-31,"5,596,000,000","4,266,000,000","1,330,000,000",0.51,0.5
HD,2011-10-31,"5,961,000,000","4,345,000,000","1,614,000,000",0.61,0.61
HD,2011-07-31,"6,876,000,000","4,582,000,000","2,294,000,000",0.86,0.86
HD,2011-04-30,"5,827,000,000","4,406,000,000","1,422,000,000",0.51,0.5
HD,2011-01-31,"5,242,000,000","4,206,000,000","1,037,000,000",0.37,0.36
HD,2010-10-31,"5,685,000,000","4,236,000,000","1,448,000,000",0.51,0.51
HD,2010-07-31,"6,582,000,000","4,533,000,000","2,048,000,000",0.72,0.71
HD,2010-04-30,"5,793,000,000","4,488,000,000","1,304,000,000",0.43,0.43
HD,2010-01-31,"5,013,000,000","4,286,000,000","726,900,000",0.2,0.2
HD,2009-10-31,"5,560,000,000","4,297,000,000","1,263,000,000",0.41,0.41
HD,2009-07-31,"6,388,000,000","4,555,000,000","1,832,000,000",0.66,0.66
HD,2009-04-30,"5,449,000,000","4,470,000,000","980,000,000",0.31,0.3
HD,2009-01-31,"4,960,000,000","4,693,000,000","266,000,000",-0.04,-0.03
HD,2008-10-31,"5,993,000,000","4,670,000,000","1,323,000,000",0.45,0.44
